OTIMIZACAO 5D ETHUSDT 1h
--------------------------------------------------------------------------------
Dist  Stop  Nota  EMA   Min%  Lucro       Win%    
-1.0  2.0   30    100   0.1   -31.82      0.0     
-1.0  2.0   30    100   0.2   -31.82      0.0     
-1.0  2.5   20    80    0.0   -31.82      0.0     
-1.0  2.5   20    80    0.1   -31.82      0.0     
-1.0  2.5   20    80    0.2   -31.82      0.0     
-1.0  2.5   20    90    0.0   -31.82      0.0     
-1.0  2.5   20    90    0.1   -31.82      0.0     
-1.0  2.5   20    90    0.2   -31.82      0.0     
-1.0  2.5   20    100   0.0   -31.82      0.0     
-1.0  2.5   20    100   0.1   -31.82      0.0     
-1.0  2.5   20    100   0.2   -31.82      0.0     
-1.0  2.5   30    80    0.0   -31.82      0.0     
-1.0  2.5   30    80    0.1   -31.82      0.0     
-1.0  2.5   30    80    0.2   -31.82      0.0     
-1.0  2.5   30    90    0.0   -31.82      0.0     
-1.0  2.5   30    90    0.1   -31.82      0.0     
-1.0  2.5   30    90    0.2   -31.82      0.0     
-1.0  2.5   30    100   0.0   -31.82      0.0     
-1.0  2.5   30    100   0.1   -31.82      0.0     
-1.0  2.5   30    100   0.2   -31.82      0.0     
1.0   2.5   20    80    0.1   -32.50      61.8    
1.0   2.5   30    80    0.1   -32.50      61.8    
1.0   3.0   20    80    0.0   -33.62      65.7    
1.0   3.0   30    80    0.0   -33.62      65.7    
1.0   2.5   20    90    0.2   -34.15      58.1    
1.0   2.5   30    90    0.2   -34.15      58.1    
1.0   2.5   20    100   0.2   -34.84      58.1    
1.0   2.5   30    100   0.2   -34.84      58.1    
-1.0  3.0   20    80    0.0   -35.15      0.0     
-1.0  3.0   20    80    0.1   -35.15      0.0     
-1.0  3.0   20    80    0.2   -35.15      0.0     
-1.0  3.0   20    90    0.0   -35.15      0.0     
-1.0  3.0   20    90    0.1   -35.15      0.0     
-1.0  3.0   20    90    0.2   -35.15      0.0     
-1.0  3.0   20    100   0.0   -35.15      0.0     
-1.0  3.0   20    100   0.1   -35.15      0.0     
-1.0  3.0   20    100   0.2   -35.15      0.0     
-1.0  3.0   30    80    0.0   -35.15      0.0     
-1.0  3.0   30    80    0.1   -35.15      0.0     
-1.0  3.0   30    80    0.2   -35.15      0.0     
-1.0  3.0   30    90    0.0   -35.15      0.0     
-1.0  3.0   30    90    0.1   -35.15      0.0     
-1.0  3.0   30    90    0.2   -35.15      0.0     
-1.0  3.0   30    100   0.0   -35.15      0.0     
-1.0  3.0   30    100   0.1   -35.15      0.0     
-1.0  3.0   30    100   0.2   -35.15      0.0     
0.0   2.5   20    100   0.0   -35.25      37.5    
0.0   2.5   20    100   0.1   -35.25      37.5    
0.0   2.5   20    100   0.2   -35.25      37.5    
0.0   2.5   30    100   0.0   -35.25      37.5    
0.0   2.5   30    100   0.1   -35.25      37.5    
0.0   2.5   30    100   0.2   -35.25      37.5    
2.0   2.0   20    100   0.0   -35.37      67.7    
2.0   2.0   30    100   0.0   -35.37      67.7    
1.0   3.0   20    100   0.0   -35.97      63.9    
1.0   3.0   30    100   0.0   -35.97      63.9    
1.0   3.0   40    100   0.0   -37.08      64.7    
-1.0  3.5   20    80    0.0   -39.32      0.0     
-1.0  3.5   20    80    0.1   -39.32      0.0     
-1.0  3.5   20    80    0.2   -39.32      0.0     
-1.0  3.5   20    90    0.0   -39.32      0.0     
-1.0  3.5   20    90    0.1   -39.32      0.0     
-1.0  3.5   20    90    0.2   -39.32      0.0     
-1.0  3.5   20    100   0.0   -39.32      0.0     
-1.0  3.5   20    100   0.1   -39.32      0.0     
-1.0  3.5   20    100   0.2   -39.32      0.0     
-1.0  3.5   30    80    0.0   -39.32      0.0     
-1.0  3.5   30    80    0.1   -39.32      0.0     
-1.0  3.5   30    80    0.2   -39.32      0.0     
-1.0  3.5   30    90    0.0   -39.32      0.0     
-1.0  3.5   30    90    0.1   -39.32      0.0     
-1.0  3.5   30    90    0.2   -39.32      0.0     
-1.0  3.5   30    100   0.0   -39.32      0.0     
-1.0  3.5   30    100   0.1   -39.32      0.0     
-1.0  3.5   30    100   0.2   -39.32      0.0     
1.0   3.5   20    80    0.2   -40.83      60.7    
1.0   3.5   30    80    0.2   -40.83      60.7    
1.0   2.5   40    80    0.0   -40.85      62.9    
1.0   3.0   20    90    0.0   -43.09      63.9    
1.0   3.0   30    90    0.0   -43.09      63.9    
1.0   3.0   40    90    0.0   -44.18      64.7    
1.0   2.5   20    80    0.2   -44.90      58.1    
1.0   2.5   30    80    0.2   -44.90      58.1    
2.0   2.5   20    80    0.0   -47.67      67.7    
2.0   2.5   20    90    0.0   -47.67      67.7    
2.0   2.5   30    80    0.0   -47.67      67.7    
2.0   2.5   30    90    0.0   -47.67      67.7    
2.0   2.5   20    100   0.0   -51.56      67.7    
2.0   2.5   30    100   0.0   -51.56      67.7    
2.0   3.5   20    80    0.0   -51.68      67.7    
2.0   3.5   20    90    0.0   -51.68      67.7    
2.0   3.5   30    80    0.0   -51.68      67.7    
2.0   3.5   30    90    0.0   -51.68      67.7    
1.0   3.5   20    100   0.0   -52.52      63.9    
1.0   3.5   30    100   0.0   -52.52      63.9    
1.0   3.5   40    80    0.0   -54.45      66.7    
2.0   3.5   20    100   0.0   -55.55      67.7    
2.0   3.5   30    100   0.0   -55.55      67.7    
0.0   1.5   40    80    0.0   -55.60      50.0    
0.0   1.5   40    80    0.1   -55.60      50.0    
0.0   1.5   40    80    0.2   -55.60      50.0    
0.0   1.5   40    90    0.0   -55.60      50.0    
0.0   1.5   40    90    0.1   -55.60      50.0    
0.0   1.5   40    90    0.2   -55.60      50.0    
0.0   1.5   40    100   0.0   -57.18      40.0    
