OTIMIZACAO 5D BTCUSDT 1h
--------------------------------------------------------------------------------
Dist  Stop  Nota  EMA   Min%  Lucro       Win%    
1.0   1.5   20    80    0.2   -44.02      53.3    
1.0   1.5   30    80    0.2   -44.02      53.3    
1.0   1.5   40    80    0.2   -44.02      53.3    
1.0   1.5   20    80    0.1   -48.51      55.6    
1.0   1.5   30    80    0.1   -48.51      55.6    
1.0   1.5   40    80    0.1   -48.51      55.6    
1.0   3.0   20    80    0.0   -50.20      52.4    
1.0   3.0   30    80    0.0   -50.20      52.4    
1.0   3.0   40    80    0.0   -50.20      52.4    
1.0   3.5   20    80    0.0   -50.20      52.4    
1.0   3.5   30    80    0.0   -50.20      52.4    
1.0   3.5   40    80    0.0   -50.20      52.4    
1.0   2.5   20    90    0.2   -51.48      43.8    
1.0   2.5   30    90    0.2   -51.48      43.8    
1.0   2.5   40    90    0.2   -51.48      43.8    
1.0   3.0   20    90    0.2   -51.48      43.8    
1.0   3.0   30    90    0.2   -51.48      43.8    
1.0   3.0   40    90    0.2   -51.48      43.8    
1.0   3.5   20    90    0.2   -51.48      43.8    
1.0   3.5   30    90    0.2   -51.48      43.8    
1.0   3.5   40    90    0.2   -51.48      43.8    
1.0   2.5   20    100   0.2   -53.43      43.8    
1.0   2.5   30    100   0.2   -53.43      43.8    
1.0   2.5   40    100   0.2   -53.43      43.8    
1.0   3.0   20    100   0.2   -53.43      43.8    
1.0   3.0   30    100   0.2   -53.43      43.8    
1.0   3.0   40    100   0.2   -53.43      43.8    
1.0   3.5   20    100   0.2   -53.43      43.8    
1.0   3.5   30    100   0.2   -53.43      43.8    
1.0   3.5   40    100   0.2   -53.43      43.8    
1.0   2.0   20    80    0.2   -54.80      53.3    
1.0   2.0   30    80    0.2   -54.80      53.3    
1.0   2.0   40    80    0.2   -54.80      53.3    
1.0   2.5   20    90    0.1   -55.94      47.4    
1.0   2.5   30    90    0.1   -55.94      47.4    
1.0   2.5   40    90    0.1   -55.94      47.4    
1.0   3.0   20    90    0.1   -55.94      47.4    
1.0   3.0   30    90    0.1   -55.94      47.4    
1.0   3.0   40    90    0.1   -55.94      47.4    
1.0   3.5   20    90    0.1   -55.94      47.4    
1.0   3.5   30    90    0.1   -55.94      47.4    
1.0   3.5   40    90    0.1   -55.94      47.4    
1.0   1.5   20    80    0.0   -57.38      54.5    
1.0   1.5   30    80    0.0   -57.38      54.5    
1.0   1.5   40    80    0.0   -57.38      54.5    
1.0   2.5   20    80    0.0   -57.51      50.0    
1.0   2.5   30    80    0.0   -57.51      50.0    
1.0   2.5   40    80    0.0   -57.51      50.0    
1.0   2.5   20    100   0.1   -57.87      47.4    
1.0   2.5   30    100   0.1   -57.87      47.4    
1.0   2.5   40    100   0.1   -57.87      47.4    
1.0   3.0   20    100   0.1   -57.87      47.4    
1.0   3.0   30    100   0.1   -57.87      47.4    
1.0   3.0   40    100   0.1   -57.87      47.4    
1.0   3.5   20    100   0.1   -57.87      47.4    
1.0   3.5   30    100   0.1   -57.87      47.4    
1.0   3.5   40    100   0.1   -57.87      47.4    
1.0   2.0   20    80    0.1   -59.24      55.6    
1.0   2.0   30    80    0.1   -59.24      55.6    
1.0   2.0   40    80    0.1   -59.24      55.6    
1.0   1.5   20    90    0.2   -62.16      43.8    
1.0   1.5   30    90    0.2   -62.16      43.8    
1.0   1.5   40    90    0.2   -62.16      43.8    
1.0   1.5   20    100   0.2   -64.08      43.8    
1.0   1.5   30    100   0.2   -64.08      43.8    
1.0   1.5   40    100   0.2   -64.08      43.8    
1.0   1.5   20    90    0.1   -66.56      47.4    
1.0   1.5   30    90    0.1   -66.56      47.4    
1.0   1.5   40    90    0.1   -66.56      47.4    
1.0   3.0   20    90    0.0   -68.22      45.5    
1.0   3.0   30    90    0.0   -68.22      45.5    
1.0   3.0   40    90    0.0   -68.22      45.5    
1.0   3.5   20    90    0.0   -68.22      45.5    
1.0   3.5   30    90    0.0   -68.22      45.5    
1.0   3.5   40    90    0.0   -68.22      45.5    
1.0   1.5   20    100   0.1   -68.48      47.4    
1.0   1.5   30    100   0.1   -68.48      47.4    
1.0   1.5   40    100   0.1   -68.48      47.4    
1.0   2.0   20    90    0.2   -72.73      43.8    
1.0   2.0   30    90    0.2   -72.73      43.8    
1.0   2.0   40    90    0.2   -72.73      43.8    
1.0   2.5   20    100   0.0   -73.55      45.5    
1.0   2.5   30    100   0.0   -73.55      45.5    
1.0   2.5   40    100   0.0   -73.55      45.5    
1.0   3.0   20    100   0.0   -73.55      45.5    
1.0   3.0   30    100   0.0   -73.55      45.5    
1.0   3.0   40    100   0.0   -73.55      45.5    
1.0   3.5   20    100   0.0   -73.55      45.5    
1.0   3.5   30    100   0.0   -73.55      45.5    
1.0   3.5   40    100   0.0   -73.55      45.5    
1.0   2.0   20    100   0.2   -74.63      43.8    
1.0   2.0   30    100   0.2   -74.63      43.8    
1.0   2.0   40    100   0.2   -74.63      43.8    
1.0   1.5   20    90    0.0   -75.27      47.8    
1.0   1.5   30    90    0.0   -75.27      47.8    
1.0   1.5   40    90    0.0   -75.27      47.8    
1.0   2.5   20    90    0.0   -75.39      43.5    
1.0   2.5   30    90    0.0   -75.39      43.5    
1.0   2.5   40    90    0.0   -75.39      43.5    
1.0   2.0   20    80    0.0   -75.69      54.5    
1.0   2.0   30    80    0.0   -75.69      54.5    
1.0   2.0   40    80    0.0   -75.69      54.5    
1.0   2.0   20    90    0.1   -77.09      47.4    
1.0   2.0   30    90    0.1   -77.09      47.4    
1.0   2.0   40    90    0.1   -77.09      47.4    
1.0   2.0   20    100   0.1   -78.98      47.4    
1.0   2.0   30    100   0.1   -78.98      47.4    
1.0   2.0   40    100   0.1   -78.98      47.4    
1.0   1.5   20    100   0.0   -83.98      45.5    
1.0   1.5   30    100   0.0   -83.98      45.5    
1.0   1.5   40    100   0.0   -83.98      45.5    
1.0   2.0   20    90    0.0   -93.23      47.8    
1.0   2.0   30    90    0.0   -93.23      47.8    
1.0   2.0   40    90    0.0   -93.23      47.8    
1.0   2.0   20    100   0.0   -94.31      45.5    
1.0   2.0   30    100   0.0   -94.31      45.5    
1.0   2.0   40    100   0.0   -94.31      45.5    
